Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
16-07-1990,4.16851996,3.85329856,6.9754249,-0.72701421,21.14112248,0.36639312
17-07-1990,4.16326228,3.84436131,7.03089359,-0.70255219,20.8893703,0.38995963
18-07-1990,4.14368851,3.76421149,7.78500443,-0.49141856,19.20143696,0.44735768
19-07-1990,3.3272989,4.56072614,8.97076614,-0.44998517,20.35781441,0.44379388
20-07-1990,3.065123,4.86019689,9.08099882,-0.6919671,22.72917129,0.46827151
23-07-1990,2.97432077,4.93938663,9.27859139,-0.70718953,22.01917669,0.54711414
24-07-1990,3.06333881,5.0108486,8.83713118,-1.20782637,24.7114026,0.41695915
25-07-1990,2.12670579,5.88380064,9.97101918,-0.97658385,26.77585995,0.36568724
26-07-1990,2.09638289,5.86305659,10.11393011,-0.77500713,25.45075391,0.37029637
27-07-1990,2.0105625,5.76365066,10.62581536,-0.399229,22.98523525,0.346888
30-07-1990,1.4247229,6.2762983,11.16952982,-0.25140682,24.04369201,0.62525321
31-07-1990,0.28589943,7.33344883,12.99790759,-0.14122097,24.43584206,0.4302701
01-08-1990,0.19689205,7.38343143,12.94677632,-0.22069147,25.62882295,0.48793162
02-08-1990,0.05457621,7.62920491,13.31390043,-0.50095609,26.0806509,0.47141806
03-08-1990,0.04408551,7.55176119,14.22972577,-0.60408633,23.61396555,0.94295197
06-08-1990,0.06184013,7.5255343,15.50133466,-0.52945647,20.9181051,0.73968197
07-08-1990,0.00116654,7.76128597,15.13150485,-0.82966429,21.67241675,0.41299017
08-08-1990,0,7.79479657,15.07974087,-0.82860701,22.11325907,0.4298192
09-08-1990,0.00000116,7.74002723,14.78571053,-0.57438063,23.85563064,0.45173754
10-08-1990,0.01520396,7.72044207,14.97710953,-0.74211063,22.07305124,0.57685717
13-08-1990,0.0432771,7.66605733,15.2937708,-0.65685302,21.16871443,0.81128628
14-08-1990,0.0547444,7.69230766,14.9274339,-0.75427176,22.42274256,0.70868909
15-08-1990,0.01060607,7.73505791,14.81161375,-0.71176121,23.65352699,0.61943728
16-08-1990,0.04377936,7.82547165,14.93951097,-0.78633246,25.35827944,0.43525141
17-08-1990,0.00451957,7.88627892,15.11969887,-0.80963814,25.0517667,0.42022675
20-08-1990,0,7.76702106,15.39114834,-0.36236503,22.68669827,0.33029892
21-08-1990,0.0000101,7.96716212,14.81605463,-0.90737973,24.44994996,0.37538422
22-08-1990,0.00256478,8.00476647,15.07095732,-0.97370455,24.42999072,0.3528386
23-08-1990,0.02864102,7.96643572,15.52274562,-0.91009401,22.40963848,0.39709307
24-08-1990,0.07812397,7.98836488,15.49366373,-1.15866902,22.41165887,0.37635577
27-08-1990,0.0005972,7.93327038,15.27850778,-0.72380715,23.37621095,0.31963127
28-08-1990,0.04075086,7.95536904,15.19743638,-0.96462373,23.38219889,0.29261129
